Month,Co. Donegal Value,Co. Dublin Value,Co. Galway Value
2021 April,61.7,46.8,60.4
2021 August,52.2,50.7,56.4
2021 December,59.2,47.7,61.9
2021 February,65.2,46.7,61.0
2021 January,65.9,46.9,67.0
2021 July,52.9,51.2,59.9
2021 June,63.6,44.7,62.0
2021 March,60.7,44.4,57.0
2021 May,62.7,45.0,59.9
2021 November,54.2,48.1,59.2
2021 October,54.4,47.6,57.1
2021 September,57.6,46.6,56.2
2022 April,56.9,45.1,59.6
2022 August,53.7,44.5,60.1
2022 December,53.9,45.5,58.6
2022 February,53.6,44.6,57.9
2022 January,60.5,48.5,60.8
2022 July,53.8,45.2,59.5
2022 June,61.2,44.7,58.4
2022 March,56.8,46.8,59.2
2022 May,55.2,43.0,55.8
2022 November,56.6,47.5,55.4
2022 October,56.0,47.5,56.7
2022 September,57.2,44.4,57.7
2023 April,51.2,46.4,58.7
2023 August,56.2,47.6,59.3
2023 December,54.0,45.4,58.7
2023 February,54.8,42.5,57.8
2023 January,62.0,45.4,59.4
2023 July,62.2,46.3,61.9
2023 June,57.9,45.9,60.6
2023 March,54.8,43.3,60.0
2023 May,57.9,45.3,60.1
2023 November,54.7,44.7,56.7
2023 October,53.3,44.5,57.9
2023 September,63.7,47.1,59.8
2024 April,56.1,43.6,57.0
2024 August,51.2,43.6,55.9
2024 December,53.0,43.7,58.5
2024 February,60.0,43.1,56.1
2024 January,58.3,44.1,56.4
2024 July,58.4,42.6,59.2
2024 June,55.7,43.6,57.5
2024 March,59.6,42.9,53.7
2024 May,53.3,43.7,56.1
2024 November,58.4,42.8,56.0
2024 October,57.5,41.5,56.4
2024 September,57.5,41.2,55.2
